SRPcode,SRNameEng,SRNameMMR,MYAINFOSDID
MMR001,Kachin,ကချင်ပြည်နယ်,ASIMMR001
MMR002,Kayah,ကယားပြည်နယ်,ASIMMR002
MMR003,Kayin,ကရင်ပြည်နယ်,ASIMMR003
MMR004,Chin,ချင်းပြည်နယ်,ASIMMR004
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ASIMMR006
MMR007,Bago (East),ပဲခူးတိုင်းဒေသကြီး (အရှေ့),ASIMMR008
MMR008,Bago (West),ပဲခူးတိုင်းဒေသကြီး (အနောက်),ASIMMR008
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,ASIMMR009
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ASIMMR010
MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011
MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012
MMR013,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ASIMMR013
MMR014,Shan (South),ရှမ်းပြည်နယ် (တောင်),ASIMMR014
MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015
MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017
MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR018
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,ASIMMR111
MMR222,Shan,ရှမ်းပြည်နယ်,ASIMMR222
